"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.091018,0.0020875,0,0.0020362,1,0.154,0.5,0.154,1
-0.091501,0.0021184,0,0.002017,1,0.155,0.5,0.155,1
-0.091985,0.0021493,0,0.0019978,1,0.156,0.5,0.156,1
-0.092469,0.0021802,0,0.0019785,1,0.157,0.5,0.157,1
-0.092952,0.0022112,0,0.0019593,1,0.158,0.5,0.158,1
-0.093436,0.0022421,0,0.0019401,1,0.159,0.5,0.159,1
-0.093919,0.002273,0,0.0019209,1,0.16,0.5,0.16,1
-0.094403,0.002304,0,0.0019016,1,0.161,0.5,0.161,1
-0.094887,0.0023349,0,0.0018824,1,0.162,0.5,0.162,1
-0.09537,0.0023658,0,0.0018632,1,0.163,0.5,0.163,1
-0.095854,0.0023967,0,0.001844,1,0.164,0.5,0.164,1
-0.096337,0.0024277,0,0.0018248,1,0.165,0.5,0.165,1
-0.096821,0.0024586,0,0.0018055,1,0.166,0.5,0.166,1
-0.097305,0.0024895,0,0.0017863,1,0.167,0.5,0.167,1
-0.097788,0.0025204,0,0.0017671,1,0.168,0.5,0.168,1
-0.098272,0.0025514,0,0.0017479,1,0.169,0.5,0.169,1
-0.098755,0.0025823,0,0.0017286,1,0.17,0.5,0.17,1
-0.099239,0.0026132,0,0.0017094,1,0.171,0.5,0.171,1
-0.099723,0.0026442,0,0.0016902,1,0.172,0.5,0.172,1
-0.10021,0.0026751,0,0.001671,1,0.173,0.5,0.173,1
-0.10069,0.002706,0,0.0016518,1,0.174,0.5,0.174,1
-0.10117,0.0027369,0,0.0016325,1,0.175,0.5,0.175,1
-0.10166,0.0027679,0,0.0016133,1,0.176,0.5,0.176,1
-0.10214,0.0027988,0,0.0015941,1,0.177,0.5,0.177,1
-0.10262,0.0028297,0,0.0015749,1,0.178,0.5,0.178,1
-0.10311,0.0028606,0,0.0015556,1,0.179,0.5,0.179,1
-0.10359,0.0028916,0,0.0015364,1,0.18,0.5,0.18,1
-0.10407,0.0029225,0,0.0015172,1,0.181,0.5,0.181,1
-0.10456,0.0029534,0,0.001498,1,0.182,0.5,0.182,1
-0.10504,0.0029844,0,0.0014787,1,0.183,0.5,0.183,1
-0.10553,0.0030153,0,0.0014595,1,0.184,0.5,0.184,1
-0.10601,0.0030462,0,0.0014403,1,0.185,0.5,0.185,1
-0.10649,0.0030771,0,0.0014211,1,0.186,0.5,0.186,1
-0.10698,0.0031081,0,0.0014019,1,0.187,0.5,0.187,1
-0.10746,0.003139,0,0.0013826,1,0.188,0.5,0.188,1
-0.10794,0.0031699,0,0.0013634,1,0.189,0.5,0.189,1
-0.10843,0.0032008,0,0.0013442,1,0.19,0.5,0.19,1
-0.10891,0.0032318,0,0.001325,1,0.191,0.5,0.191,1
-0.10939,0.0032627,0,0.0013057,1,0.192,0.5,0.192,1
-0.10988,0.0032936,0,0.0012865,1,0.193,0.5,0.193,1
-0.11036,0.0033246,0,0.0012673,1,0.194,0.5,0.194,1
-0.11085,0.0033555,0,0.0012481,1,0.195,0.5,0.195,1
-0.11133,0.0033864,0,0.0012289,1,0.196,0.5,0.196,1
-0.11181,0.0034173,0,0.0012096,1,0.197,0.5,0.197,1
-0.1123,0.0034483,0,0.0011904,1,0.198,0.5,0.198,1
-0.11278,0.0034792,0,0.0011712,1,0.199,0.5,0.199,1
-0.11326,0.0035101,0,0.001152,1,0.2,0.5,0.2,1
-0.11373,0.0035648,0,0.0011167,1,0.201,0.5,0.201,1
-0.11419,0.0036195,0,0.0010813,1,0.202,0.5,0.202,1
-0.11465,0.0036741,0,0.001046,1,0.203,0.5,0.203,1
-0.11511,0.0037288,0,0.0010107,1,0.204,0.5,0.204,1
-0.11557,0.0037835,0,0.0009754,1,0.205,0.5,0.205,1
-0.11603,0.0038382,0,0.00094008,1,0.206,0.5,0.206,1
-0.1165,0.0038928,0,0.00090477,1,0.207,0.5,0.207,1
-0.11696,0.0039475,0,0.00086945,1,0.208,0.5,0.208,1
-0.11742,0.0040022,0,0.00083414,1,0.209,0.5,0.209,1
-0.11788,0.0040569,0,0.00079882,1,0.21,0.5,0.21,1
-0.11834,0.0041115,0,0.00076351,1,0.211,0.5,0.211,1
-0.11881,0.0041662,0,0.00072819,1,0.212,0.5,0.212,1
-0.11927,0.0042209,0,0.00069288,1,0.213,0.5,0.213,1
-0.11973,0.0042755,0,0.00065757,1,0.214,0.5,0.214,1
-0.12019,0.0043302,0,0.00062225,1,0.215,0.5,0.215,1
-0.12065,0.0043849,0,0.00058694,1,0.216,0.5,0.216,1
-0.12112,0.0044396,0,0.00055162,1,0.217,0.5,0.217,1
-0.12158,0.0044942,0,0.00051631,1,0.218,0.5,0.218,1
-0.12204,0.0045489,0,0.00048099,1,0.219,0.5,0.219,1
-0.1225,0.0046036,0,0.00044568,1,0.22,0.5,0.22,1
-0.12296,0.0046583,0,0.00041036,1,0.221,0.5,0.221,1
-0.12343,0.0047129,0,0.00037505,1,0.222,0.5,0.222,1
-0.12389,0.0047676,0,0.00033974,1,0.223,0.5,0.223,1
-0.12435,0.0048223,0,0.00030442,1,0.224,0.5,0.224,1
-0.12481,0.004877,0,0.00026911,1,0.225,0.5,0.225,1
-0.12527,0.0049316,0,0.00023379,1,0.226,0.5,0.226,1
-0.12574,0.0049863,0,0.00019848,1,0.227,0.5,0.227,1
-0.1262,0.005041,0,0.00016316,1,0.228,0.5,0.228,1
-0.12666,0.0050956,0,0.00012785,1,0.229,0.5,0.229,1
-0.12712,0.0051503,0,9.2535e-05,1,0.23,0.5,0.23,1
-0.12758,0.005205,0,5.722e-05,1,0.231,0.5,0.231,1
-0.12805,0.0052597,0,2.1906e-05,1,0.232,0.5,0.232,1
-0.12851,0.0053143,0,-1.3408e-05,1,0.233,0.5,0.233,1
-0.12897,0.005369,0,-4.8723e-05,1,0.234,0.5,0.234,1
-0.12943,0.0054237,0,-8.4037e-05,1,0.235,0.5,0.235,1
-0.12989,0.0054784,0,-0.00011935,1,0.236,0.5,0.236,1
-0.13036,0.005533,0,-0.00015467,1,0.237,0.5,0.237,1
-0.13082,0.0055877,0,-0.00018998,1,0.238,0.5,0.238,1
-0.13128,0.0056424,0,-0.00022529,1,0.239,0.5,0.239,1
-0.13174,0.0056971,0,-0.00026061,1,0.24,0.5,0.24,1
-0.1322,0.0057517,0,-0.00029592,1,0.241,0.5,0.241,1
-0.13267,0.0058064,0,-0.00033124,1,0.242,0.5,0.242,1
-0.13313,0.0058611,0,-0.00036655,1,0.243,0.5,0.243,1
-0.13359,0.0059158,0,-0.00040187,1,0.244,0.5,0.244,1
-0.13405,0.0059704,0,-0.00043718,1,0.245,0.5,0.245,1
-0.13451,0.0060251,0,-0.0004725,1,0.246,0.5,0.246,1
-0.13498,0.0060798,0,-0.00050781,1,0.247,0.5,0.247,1
-0.13544,0.0061344,0,-0.00054312,1,0.248,0.5,0.248,1
-0.1359,0.0061891,0,-0.00057844,1,0.249,0.5,0.249,1
-0.13636,0.0062438,0,-0.00061375,1,0.25,0.5,0.25,1
-0.13679,0.0063364,0,-0.0006719,1,0.251,0.5,0.251,1
-0.13723,0.0064289,0,-0.00073005,1,0.252,0.5,0.252,1
-0.13766,0.0065215,0,-0.0007882,1,0.253,0.5,0.253,1
-0.13809,0.006614,0,-0.00084635,1,0.254,0.5,0.254,1
-0.13853,0.0067066,0,-0.0009045,1,0.255,0.5,0.255,1
-0.13896,0.0067992,0,-0.00096264,1,0.256,0.5,0.256,1
-0.1394,0.0068917,0,-0.0010208,1,0.257,0.5,0.257,1
-0.13983,0.0069843,0,-0.0010789,1,0.258,0.5,0.258,1
-0.14026,0.0070769,0,-0.0011371,1,0.259,0.5,0.259,1
-0.1407,0.0071694,0,-0.0011952,1,0.26,0.5,0.26,1
-0.14113,0.007262,0,-0.0012534,1,0.261,0.5,0.261,1
-0.14156,0.0073546,0,-0.0013115,1,0.262,0.5,0.262,1
-0.142,0.0074471,0,-0.0013697,1,0.263,0.5,0.263,1
-0.14243,0.0075397,0,-0.0014278,1,0.264,0.5,0.264,1
-0.14286,0.0076322,0,-0.001486,1,0.265,0.5,0.265,1
-0.1433,0.0077248,0,-0.0015441,1,0.266,0.5,0.266,1
-0.14373,0.0078174,0,-0.0016023,1,0.267,0.5,0.267,1
-0.14416,0.0079099,0,-0.0016604,1,0.268,0.5,0.268,1
-0.1446,0.0080025,0,-0.0017186,1,0.269,0.5,0.269,1
-0.14503,0.0080951,0,-0.0017767,1,0.27,0.5,0.27,1
-0.14546,0.0081876,0,-0.0018349,1,0.271,0.5,0.271,1
-0.1459,0.0082802,0,-0.001893,1,0.272,0.5,0.272,1
-0.14633,0.0083727,0,-0.0019512,1,0.273,0.5,0.273,1
-0.14676,0.0084653,0,-0.0020093,1,0.274,0.5,0.274,1
-0.1472,0.0085579,0,-0.0020675,1,0.275,0.5,0.275,1
-0.14763,0.0086504,0,-0.0021256,1,0.276,0.5,0.276,1
